machine,task_num,link_num,recommend
2,92,417,TA
2,83,399,GA
5,88,398,GA
2,96,454,GA
5,92,382,TA
4,96,406,TA
2,94,364,GA
5,86,379,TA
3,91,337,GA
2,93,401,GA
3,99,413,TA
4,90,382,TA
3,97,424,TA
2,97,372,GA
4,86,352,TA
4,89,367,TA
5,98,440,TA
3,82,323,GA
4,84,348,TA
4,88,348,TA
1,94,386,TA
4,88,356,TA
1,91,382,TA
2,87,319,GA
5,93,403,TA
2,84,346,GA
1,82,352,TA
5,84,381,TA
5,97,386,TA
1,81,343,TA
1,84,408,TA
3,88,360,GA
4,85,358,TA
1,97,442,TA
5,100,456,TA
4,85,370,TA
5,100,414,TA
5,84,361,TA
4,96,373,TA
5,87,338,TA
4,87,388,GA
3,95,399,TA
2,93,364,TA
3,92,356,GA
5,100,365,GA
5,99,412,TA
1,84,379,TA
1,97,391,TA
5,98,424,TA
4,81,327,TA
1,95,437,TA
2,80,296,TA
4,81,349,TA
3,83,296,TA
3,99,467,GA
4,83,377,TA
1,96,431,TA
1,93,403,TA
4,99,413,TA
1,95,392,TA
5,82,386,TA
1,89,371,TA
4,88,377,TA
5,97,447,TA
5,92,415,TA
5,84,352,GA
4,91,359,TA
3,99,417,TA
3,80,342,TA
1,99,432,TA
4,92,412,TA
1,86,381,TA
4,96,373,TA
2,87,365,GA
5,96,424,TA
5,94,407,TA
5,85,374,GA
2,84,367,TA
3,89,377,TA
3,98,479,TA
2,100,494,GA
1,100,464,TA
1,80,363,TA
2,94,379,GA
4,88,414,GA
1,97,426,TA
1,94,431,TA
3,100,399,GA
1,97,447,TA
4,93,404,TA
1,95,445,TA
1,92,386,TA
1,98,436,TA
2,93,444,GA
4,82,330,GA
5,90,400,TA
3,96,398,GA
3,98,378,GA
3,100,398,TA
4,96,418,TA
3,99,385,TA
4,92,394,TA
1,97,389,TA
1,93,408,TA
1,85,347,TA
3,85,360,GA
4,80,355,TA
4,95,334,TA
3,86,363,TA
5,92,345,TA
5,94,373,GA
5,88,379,GA
3,91,380,TA
3,92,403,TA
5,80,381,TA
2,86,364,TA
2,84,351,GA
1,83,338,TA
4,88,360,TA
2,87,319,TA
4,91,383,TA
3,90,421,TA
4,91,425,TA
5,95,410,TA
2,85,343,GA
2,91,380,GA
1,99,457,TA
1,98,433,TA
3,85,334,GA
5,97,394,TA
1,81,309,TA
1,88,417,TA
3,80,376,GA
4,89,381,GA
3,95,421,TA
2,90,428,GA
2,100,424,GA
3,81,366,TA
3,100,409,TA
2,82,352,TA
3,95,405,TA
4,89,380,TA
3,94,378,TA
1,94,387,TA
3,83,351,TA
3,99,446,TA
2,94,400,GA
1,97,367,TA
5,87,379,TA
4,99,390,TA
3,90,436,TA
2,85,358,GA
5,90,369,TA
5,97,441,TA
5,99,422,TA
3,84,382,GA
5,100,429,TA
1,94,429,TA
4,93,444,TA
2,92,355,TA
2,97,412,TA
4,91,405,TA
4,85,394,TA
4,96,365,TA
1,80,350,TA
4,88,388,TA
5,99,433,TA
3,82,320,TA
4,94,389,TA
2,86,331,GA
3,85,373,GA
3,80,318,TA
3,89,381,TA
1,94,382,TA
3,87,375,TA
5,93,386,TA
5,84,389,TA
5,97,435,GA
1,88,349,TA
3,93,338,TA
3,96,460,GA
5,98,383,TA
1,83,339,TA
1,96,390,TA
1,91,420,TA
4,86,401,GA
1,80,346,TA
1,89,394,TA
4,100,395,TA
3,95,386,TA
1,81,326,TA
2,82,360,GA
5,90,392,TA
1,83,317,TA
2,97,448,GA
1,92,400,TA
2,83,337,GA
2,82,286,TA
3,85,353,TA
1,93,396,TA
2,94,390,GA
4,86,347,TA
2,92,340,GA
2,94,447,GA
2,89,351,GA
1,99,380,TA
3,99,433,TA
4,85,344,TA
3,97,411,TA
4,81,363,TA
3,91,403,TA
5,81,369,TA
4,82,350,TA
5,91,378,TA
1,83,340,TA
2,100,434,TA
3,91,358,GA
1,96,410,TA
1,94,402,TA
4,99,390,TA
2,94,444,GA
3,92,377,TA
1,94,445,TA
4,96,426,TA
1,94,409,TA
4,87,364,TA
2,87,355,TA
4,81,365,TA
5,83,339,TA
4,89,380,TA
3,96,400,TA
5,84,391,TA
2,80,322,GA
3,84,360,TA
1,100,410,TA
5,89,387,TA
2,80,343,GA
5,82,330,TA
1,89,342,TA
3,88,390,TA
1,86,386,TA
3,82,359,TA
4,96,474,TA
2,87,344,TA
4,89,339,TA
5,83,370,GA
1,87,391,TA
4,96,407,TA
2,92,395,TA
4,99,438,TA
4,89,372,TA
2,83,385,GA
4,84,322,TA
3,85,325,TA
2,81,368,TA
1,80,337,TA
4,93,371,GA
5,96,395,TA
5,83,322,TA
4,92,406,TA
2,99,433,TA
1,84,358,TA
2,93,419,GA
2,86,379,TA
1,88,341,TA
3,100,448,TA
5,90,410,TA
5,89,367,TA
2,89,401,TA
1,81,319,TA
5,91,376,TA
3,85,376,TA
1,88,375,TA
1,94,419,TA
3,82,379,TA
3,86,373,GA
1,92,451,TA
2,98,392,GA
1,93,350,TA
3,82,355,TA
1,81,354,TA
2,97,413,TA
5,81,337,TA
1,97,422,TA
4,99,452,TA
5,80,348,TA
4,84,378,TA
3,81,350,GA
4,86,346,TA
5,80,354,TA
5,80,398,TA
4,97,354,TA
3,90,317,TA
2,91,402,GA
1,93,399,TA
2,89,378,TA
2,84,328,TA
5,100,402,TA
5,92,398,TA
3,84,360,GA
1,80,348,TA
5,84,374,TA
3,89,394,GA
4,94,370,GA
5,88,316,TA
3,99,363,TA
3,84,326,TA
5,83,358,TA
5,94,400,TA
5,90,402,TA
2,86,357,GA
3,83,346,TA
4,92,400,TA
1,96,434,TA
5,82,384,TA
5,81,353,TA
3,87,374,TA
5,85,393,TA
3,96,369,GA
4,88,362,TA
3,92,349,TA
4,81,328,TA
1,81,352,TA
2,100,445,GA
2,80,337,GA
5,99,419,GA
3,87,352,TA
2,99,433,TA
1,84,373,TA
3,89,360,TA
5,95,385,TA
5,99,419,TA
3,94,393,TA
3,89,345,GA
5,88,374,GA
2,91,393,GA
5,87,360,GA
2,92,418,TA
4,98,470,TA
2,97,429,TA
4,94,425,TA
2,83,382,TA
1,84,362,TA
4,97,437,TA
5,99,370,TA
4,100,389,TA
3,98,407,TA
1,96,349,TA
3,80,316,GA
2,80,361,GA
4,100,350,TA
4,81,316,TA
3,99,460,TA
1,99,423,TA
2,95,444,TA
1,83,328,TA
1,87,355,TA
4,99,479,TA
3,100,390,TA
2,98,410,GA
3,98,443,TA
1,100,459,TA
3,97,401,TA
2,93,367,TA
4,100,449,TA
2,87,400,GA
3,82,377,TA
5,88,350,TA
2,92,390,TA
3,91,418,TA
2,91,405,TA
4,80,337,TA
1,94,382,TA
4,80,355,TA
1,95,428,TA
1,81,313,TA
2,88,383,GA
1,88,375,TA
2,84,369,GA
3,86,355,GA
3,80,345,TA
1,87,407,TA
3,98,427,TA
2,87,325,GA
4,90,387,TA
4,89,396,TA
1,81,390,TA
4,97,417,TA
3,83,386,GA
5,80,335,TA
1,84,331,TA
5,81,365,TA
1,96,438,TA
2,90,407,TA
4,93,380,TA
2,83,334,TA
5,94,407,TA
5,84,384,GA
3,97,423,TA
3,87,372,TA
2,80,342,GA
4,91,378,TA
4,90,424,TA
3,92,411,TA
3,80,330,TA
5,93,383,TA
2,87,326,GA
4,85,386,GA
2,84,358,TA
4,94,381,TA
4,97,401,TA
3,83,346,TA
4,86,322,TA
5,89,388,TA
2,86,343,TA
5,91,400,TA
1,82,325,TA
3,98,403,TA
1,91,388,TA
4,82,349,TA
4,83,348,TA
2,91,386,GA
4,89,375,TA
3,83,331,TA
5,96,389,TA
1,98,404,TA
4,82,407,TA
1,97,415,TA
5,96,409,TA
1,85,383,TA
4,85,374,GA
4,87,397,TA
5,99,453,TA
5,96,387,TA
3,88,432,GA
5,82,365,TA
3,94,453,TA
2,88,363,TA
1,94,402,TA
1,97,437,TA
2,100,448,GA
5,86,395,GA
3,83,330,TA
4,89,374,TA
2,93,379,GA
4,98,414,TA
2,85,343,TA
2,85,365,GA
3,83,350,TA
3,96,369,TA
5,91,408,TA
2,91,407,GA
5,80,348,TA
3,98,467,GA
